sessions,n_sessions,erp,scale,horizon,p_zero,p_profit,p_goal,median_net,mean_net,avg_payouts,avg_passed,avg_target,eg_risk
300+930+2000,3,0.1,True,30,0.0,0.0,0.0,-980.0,-980.0,0.0,0.0,0.0,200.0
930+2000,2,0.1,True,30,0.0,0.0,0.0,-980.0,-980.588,0.0,0.0,0.0,200.0
300+2000,2,0.1,True,30,0.0,0.0,0.0,-980.0,-982.156,0.0,0.002,0.0,200.0
300+930,2,0.1,True,30,0.0,0.0,0.0,-980.0,-983.3320000000001,0.0,0.014,0.0,200.0
2000,1,0.1,True,30,0.0,0.0,0.0,-980.0,-984.9000000000001,0.0,0.0,0.0,200.0
2000,1,0.1,False,30,0.0,0.0,0.0,-980.0,-984.9000000000001,0.0,0.0,0.0,200.0
930,1,0.1,True,30,0.0,0.0,0.0,-980.0,-1011.164,0.0,0.07,0.0,200.0
930,1,0.1,False,30,0.0,0.0,0.0,-980.0,-1011.164,0.0,0.07,0.0,200.0
300+930+2000,3,0.2,True,30,0.0,0.0,0.0,-980.0,-1017.828,0.0,0.238,0.0,400.0
930+2000,2,0.1,False,30,0.0,0.0,0.0,-980.0,-1055.46,0.0,0.344,0.0,400.0
930+2000,2,0.2,True,30,0.0,0.0,0.0,-980.0,-1055.46,0.0,0.344,0.0,400.0
2000,1,0.2,True,30,0.0,0.0,0.0,-980.0,-1074.668,0.0,0.28,0.0,400.0
2000,1,0.2,False,30,0.0,0.0,0.0,-980.0,-1074.668,0.0,0.28,0.0,400.0
2000,1,0.3,True,30,0.0,0.0,0.0,-980.0,-1074.668,0.0,0.28,0.0,600.0
2000,1,0.3,False,30,0.0,0.0,0.0,-980.0,-1074.668,0.0,0.28,0.0,600.0
300,1,0.1,True,30,0.0,0.0,0.0,-980.0,-1078.196,0.0,0.356,0.0,200.0
300,1,0.1,False,30,0.0,0.0,0.0,-980.0,-1078.196,0.0,0.356,0.0,200.0
300+2000,2,0.1,False,30,0.0,0.0,0.0,-980.0,-1132.096,0.0,0.844,0.0,400.0
300+2000,2,0.2,True,30,0.0,0.0,0.0,-980.0,-1132.096,0.0,0.844,0.0,400.0
300+930,2,0.1,False,30,0.0,0.0,0.0,-980.0,-1177.372,0.0,1.192,0.01,400.0
300+930,2,0.2,True,30,0.0,0.0,0.0,-980.0,-1177.372,0.0,1.192,0.01,400.0
300+930+2000,3,0.1,False,30,0.0,0.0,0.0,-980.0,-1219.512,0.0,1.788,0.024,600.0
300+930+2000,3,0.3,True,30,0.0,0.0,0.0,-980.0,-1219.512,0.0,1.788,0.024,600.0
930+2000,2,0.3,True,30,0.0,0.0,0.0,-980.0,-1262.436,0.0,1.878,0.036,600.0
930,1,0.2,True,30,0.0,0.0,0.0,-980.0,-1364.16,0.0,2.004,0.052,400.0
930,1,0.2,False,30,0.0,0.0,0.0,-980.0,-1364.16,0.0,2.004,0.052,400.0
300,1,0.2,True,30,0.0,0.0,0.0,-980.0,-1421.196,0.0,2.17,0.084,400.0
300,1,0.2,False,30,0.0,0.0,0.0,-980.0,-1421.196,0.0,2.17,0.084,400.0
300,1,0.3,True,30,0.0,0.0,0.0,-980.0,-1421.196,0.0,2.17,0.084,600.0
300,1,0.3,False,30,0.0,0.0,0.0,-980.0,-1421.196,0.0,2.17,0.084,600.0
300+930+2000,3,0.4,True,30,0.0,0.0,0.0,-980.0,-1438.444,0.0,3.336,0.25,800.0
300+2000,2,0.3,True,30,0.0,0.0,0.0,-980.0,-1442.756,0.0,2.67,0.154,600.0
930+2000,2,0.2,False,30,0.0,0.0,0.0,-980.0,-1455.692,0.0,3.532,0.19,800.0
930+2000,2,0.4,True,30,0.0,0.0,0.0,-980.0,-1455.692,0.0,3.532,0.19,800.0
300+930,2,0.3,True,30,0.0,0.0,0.0,-980.0,-1513.12,0.0,3.374,0.248,600.0
300+2000,2,0.2,False,30,0.0,0.0,0.0,-980.0,-1540.756,0.0,3.534,0.296,800.0
300+2000,2,0.3,False,30,0.0,0.0,0.0,-980.0,-1540.756,0.0,3.534,0.296,1200.0
300+2000,2,0.4,True,30,0.0,0.0,0.0,-980.0,-1540.756,0.0,3.534,0.296,800.0
300+2000,2,0.5,True,30,0.0,0.0,0.0,-980.0,-1540.756,0.0,3.534,0.296,1000.0
300+2000,2,0.6,True,30,0.0,0.0,0.0,-980.0,-1540.756,0.0,3.534,0.296,1200.0
930,1,0.3,True,30,0.0,0.0,0.0,-1960.0,-1611.904,0.0,3.518,0.208,600.0
930,1,0.3,False,30,0.0,0.0,0.0,-1960.0,-1611.904,0.0,3.518,0.208,600.0
930,1,0.4,True,30,0.0,0.0,0.0,-1960.0,-1611.904,0.0,3.518,0.208,800.0
930,1,0.4,False,30,0.0,0.0,0.0,-1960.0,-1611.904,0.0,3.518,0.208,800.0
2000,1,0.4,True,30,0.0,0.0,0.0,-1960.0,-1628.172,0.0,3.24,0.174,800.0
2000,1,0.4,False,30,0.0,0.0,0.0,-1960.0,-1628.172,0.0,3.24,0.174,800.0
300+930+2000,3,0.5,True,30,0.0,0.0004,0.0004,-1960.0,-1646.15265,0.004,5.116,0.79,1000.0
930+2000,2,0.3,False,30,0.0,0.0,0.0,-1960.0,-1662.864,0.0,4.81,0.55,1200.0
930+2000,2,0.5,True,30,0.0,0.0,0.0,-1960.0,-1662.864,0.0,4.81,0.55,1000.0
930+2000,2,0.6,True,30,0.0,0.0,0.0,-1960.0,-1662.864,0.0,4.81,0.55,1200.0
300+930,2,0.2,False,30,0.0,0.0002,0.0002,-1960.0,-1713.752,0.002,4.874,0.722,800.0
300+930,2,0.4,True,30,0.0,0.0002,0.0002,-1960.0,-1713.752,0.002,4.874,0.722,800.0
300+930+2000,3,0.2,False,30,0.0,0.0004,0.0004,-1960.0,-1771.7581,0.004,5.916,1.152,1200.0
300+930+2000,3,0.6,True,30,0.0,0.0004,0.0004,-1960.0,-1771.7581,0.004,5.916,1.152,1200.0
300+930+2000,3,1.0,False,30,0.0,0.0312,0.0312,-2940.0,-1826.746,0.312,10.876,4.842,6000.0
300+930+2000,3,0.7,True,30,0.0,0.0004,0.0004,-1960.0,-1842.7596,0.004,6.322,1.324,1400.0
300+930,2,0.3,False,30,0.0,0.0008,0.0008,-1960.0,-1872.1,0.008,5.864,1.136,1200.0
300+930,2,0.5,True,30,0.0,0.0008,0.0008,-1960.0,-1872.1,0.008,5.864,1.136,1000.0
300+930,2,0.6,True,30,0.0,0.0008,0.0008,-1960.0,-1872.1,0.008,5.864,1.136,1200.0
300+930,2,1.0,False,30,0.0,0.0304,0.0304,-2940.0,-1891.9445,0.304,10.382,4.5,4000.0
300+930+2000,3,0.8,False,30,0.0,0.0264,0.0264,-2940.0,-1909.427,0.264,10.93,4.892,4800.0
300+930+2000,3,0.9,False,30,0.0,0.0264,0.0264,-2940.0,-1909.427,0.264,10.93,4.892,5400.0
300+930+2000,3,0.3,False,30,0.0,0.0004,0.0004,-1960.0,-1924.11985,0.004,6.848,1.574,1800.0
300+930+2000,3,0.8,True,30,0.0,0.0004,0.0004,-1960.0,-1924.11985,0.004,6.848,1.574,1600.0
300+930+2000,3,0.9,True,30,0.0,0.0004,0.0004,-1960.0,-1924.11985,0.004,6.848,1.574,1800.0
930+2000,2,1.0,False,30,0.0,0.0276,0.0276,-2940.0,-1936.8718,0.276,10.788,4.622,4000.0
930+2000,2,0.4,False,30,0.0,0.0004,0.0004,-1960.0,-1948.096,0.004,6.766,1.5,1600.0
930+2000,2,0.7,True,30,0.0,0.0004,0.0004,-1960.0,-1948.096,0.004,6.766,1.5,1400.0
930+2000,2,0.8,True,30,0.0,0.0004,0.0004,-1960.0,-1948.096,0.004,6.766,1.5,1600.0
930+2000,2,0.9,True,30,0.0,0.0004,0.0004,-1960.0,-1948.096,0.004,6.766,1.5,1800.0
300+930,2,0.8,False,30,0.0,0.026,0.026,-2940.0,-1958.2783,0.26,10.516,4.538,3200.0
300+930,2,0.9,False,30,0.0,0.026,0.026,-2940.0,-1958.2783,0.26,10.516,4.538,3600.0
300+930+2000,3,0.7,False,30,0.0,0.0234,0.0234,-2940.0,-2018.879,0.234,10.546,4.47,4200.0
930+2000,2,0.8,False,30,0.0,0.018,0.018,-2940.0,-2047.8851,0.18,10.86,4.99,3200.0
930+2000,2,0.9,False,30,0.0,0.018,0.018,-2940.0,-2047.8851,0.18,10.86,4.99,3600.0
300+930,2,0.7,False,30,0.0,0.0222,0.0222,-2940.0,-2093.8449,0.222,9.968,3.998,2800.0
300+2000,2,0.7,False,30,0.0,0.0186,0.0186,-2940.0,-2147.1005,0.186,10.122,4.094,2800.0
300+2000,2,0.8,False,30,0.0,0.0186,0.0186,-2940.0,-2147.1005,0.186,10.122,4.094,3200.0
300+2000,2,0.9,False,30,0.0,0.0186,0.0186,-2940.0,-2147.1005,0.186,10.122,4.094,3600.0
300+2000,2,1.0,False,30,0.0,0.0186,0.0186,-2940.0,-2147.1005,0.186,10.122,4.094,4000.0
2000,1,0.5,True,30,0.0,0.0008,0.0008,-1960.0,-2196.676,0.008,6.154,1.036,1000.0
2000,1,0.5,False,30,0.0,0.0008,0.0008,-1960.0,-2196.676,0.008,6.154,1.036,1000.0
2000,1,0.6,True,30,0.0,0.0008,0.0008,-1960.0,-2196.676,0.008,6.154,1.036,1200.0
2000,1,0.6,False,30,0.0,0.0008,0.0008,-1960.0,-2196.676,0.008,6.154,1.036,1200.0
300+930+2000,3,0.5,False,30,0.0,0.0156,0.0156,-2940.0,-2203.8058,0.156,10.188,4.056,3000.0
300+930+2000,3,0.6,False,30,0.0,0.0156,0.0156,-2940.0,-2203.8058,0.156,10.188,4.056,3600.0
930,1,1.0,True,30,0.0,0.0184,0.0184,-2940.0,-2228.176,0.184,9.642,3.62,2000.0
930,1,1.0,False,30,0.0,0.0184,0.0184,-2940.0,-2228.176,0.184,9.642,3.62,2000.0
930+2000,2,0.7,False,30,0.0,0.0114,0.0114,-2940.0,-2241.37075,0.114,10.29,4.258,2800.0
300+930+2000,3,0.4,False,30,0.0,0.0064,0.0064,-2940.0,-2246.1265,0.064,9.812,3.574,2400.0
300+930+2000,3,1.0,True,30,0.0,0.0064,0.0064,-2940.0,-2246.1265,0.064,9.812,3.574,2000.0
2000,1,0.7,True,30,0.0,0.0036,0.0036,-2940.0,-2250.02675,0.036,8.518,2.466,1400.0
2000,1,0.7,False,30,0.0,0.0036,0.0036,-2940.0,-2250.02675,0.036,8.518,2.466,1400.0
2000,1,0.8,True,30,0.0,0.0036,0.0036,-2940.0,-2250.02675,0.036,8.518,2.466,1600.0
2000,1,0.8,False,30,0.0,0.0036,0.0036,-2940.0,-2250.02675,0.036,8.518,2.466,1600.0
2000,1,0.9,True,30,0.0,0.0036,0.0036,-2940.0,-2250.02675,0.036,8.518,2.466,1800.0
2000,1,0.9,False,30,0.0,0.0036,0.0036,-2940.0,-2250.02675,0.036,8.518,2.466,1800.0
2000,1,1.0,True,30,0.0,0.0036,0.0036,-2940.0,-2250.02675,0.036,8.518,2.466,2000.0
2000,1,1.0,False,30,0.0,0.0036,0.0036,-2940.0,-2250.02675,0.036,8.518,2.466,2000.0
300+930,2,0.4,False,30,0.0,0.0036,0.0036,-2940.0,-2283.3547,0.036,8.716,2.798,1600.0
300+930,2,0.7,True,30,0.0,0.0036,0.0036,-2940.0,-2283.3547,0.036,8.716,2.798,1400.0
300+930,2,0.8,True,30,0.0,0.0036,0.0036,-2940.0,-2283.3547,0.036,8.716,2.798,1600.0
300+930,2,0.9,True,30,0.0,0.0036,0.0036,-2940.0,-2283.3547,0.036,8.716,2.798,1800.0
300,1,0.4,True,30,0.0,0.0012,0.0012,-2940.0,-2290.5989,0.012,6.922,1.76,800.0
300,1,0.4,False,30,0.0,0.0012,0.0012,-2940.0,-2290.5989,0.012,6.922,1.76,800.0
300+2000,2,0.4,False,30,0.0,0.0036,0.0036,-2940.0,-2302.3154,0.036,8.518,2.73,1600.0
300+2000,2,0.7,True,30,0.0,0.0036,0.0036,-2940.0,-2302.3154,0.036,8.518,2.73,1400.0
300+2000,2,0.8,True,30,0.0,0.0036,0.0036,-2940.0,-2302.3154,0.036,8.518,2.73,1600.0
300+2000,2,0.9,True,30,0.0,0.0036,0.0036,-2940.0,-2302.3154,0.036,8.518,2.73,1800.0
300+930,2,0.5,False,30,0.0,0.0122,0.0122,-2940.0,-2304.4880000000003,0.122,9.658,3.652,2000.0
300+930,2,0.6,False,30,0.0,0.0122,0.0122,-2940.0,-2304.4880000000003,0.122,9.658,3.652,2400.0
300+930,2,1.0,True,30,0.0,0.0122,0.0122,-2940.0,-2304.4880000000003,0.122,9.658,3.652,2000.0
930,1,0.8,True,30,0.0,0.0074,0.0074,-2940.0,-2312.096,0.074,9.958,3.824,1600.0
930,1,0.8,False,30,0.0,0.0074,0.0074,-2940.0,-2312.096,0.074,9.958,3.824,1600.0
930,1,0.9,True,30,0.0,0.0074,0.0074,-2940.0,-2312.096,0.074,9.958,3.824,1800.0
930,1,0.9,False,30,0.0,0.0074,0.0074,-2940.0,-2312.096,0.074,9.958,3.824,1800.0
930+2000,2,0.5,False,30,0.0,0.0068,0.0068,-2940.0,-2364.10815,0.068,9.596,3.6,2000.0
930+2000,2,0.6,False,30,0.0,0.0068,0.0068,-2940.0,-2364.10815,0.068,9.596,3.6,2400.0
930+2000,2,1.0,True,30,0.0,0.0068,0.0068,-2940.0,-2364.10815,0.068,9.596,3.6,2000.0
300+2000,2,0.5,False,30,0.0,0.0092,0.0092,-2940.0,-2374.8865,0.092,9.39,3.408,2000.0
300+2000,2,0.6,False,30,0.0,0.0092,0.0092,-2940.0,-2374.8865,0.092,9.39,3.408,2400.0
300+2000,2,1.0,True,30,0.0,0.0092,0.0092,-2940.0,-2374.8865,0.092,9.39,3.408,2000.0
300,1,0.7,True,30,0.0,0.0108,0.0108,-2940.0,-2377.12,0.108,9.3,3.336,1400.0
300,1,0.7,False,30,0.0,0.0108,0.0108,-2940.0,-2377.12,0.108,9.3,3.336,1400.0
300,1,0.8,True,30,0.0,0.0108,0.0108,-2940.0,-2377.12,0.108,9.3,3.336,1600.0
300,1,0.8,False,30,0.0,0.0108,0.0108,-2940.0,-2377.12,0.108,9.3,3.336,1600.0
300,1,0.9,True,30,0.0,0.0108,0.0108,-2940.0,-2377.12,0.108,9.3,3.336,1800.0
300,1,0.9,False,30,0.0,0.0108,0.0108,-2940.0,-2377.12,0.108,9.3,3.336,1800.0
300,1,1.0,True,30,0.0,0.0108,0.0108,-2940.0,-2377.12,0.108,9.3,3.336,2000.0
300,1,1.0,False,30,0.0,0.0108,0.0108,-2940.0,-2377.12,0.108,9.3,3.336,2000.0
930,1,0.5,True,30,0.0,0.0024,0.0024,-2940.0,-2447.372,0.024,8.25,2.226,1000.0
930,1,0.5,False,30,0.0,0.0024,0.0024,-2940.0,-2447.372,0.024,8.25,2.226,1000.0
930,1,0.6,True,30,0.0,0.0024,0.0024,-2940.0,-2447.372,0.024,8.25,2.226,1200.0
930,1,0.6,False,30,0.0,0.0024,0.0024,-2940.0,-2447.372,0.024,8.25,2.226,1200.0
930,1,0.7,True,30,0.0,0.0024,0.0024,-2940.0,-2447.372,0.024,8.25,2.226,1400.0
930,1,0.7,False,30,0.0,0.0024,0.0024,-2940.0,-2447.372,0.024,8.25,2.226,1400.0
300,1,0.5,True,30,0.0,0.0038,0.0038,-2940.0,-2524.876,0.038,8.44,2.582,1000.0
300,1,0.5,False,30,0.0,0.0038,0.0038,-2940.0,-2524.876,0.038,8.44,2.582,1000.0
300,1,0.6,True,30,0.0,0.0038,0.0038,-2940.0,-2524.876,0.038,8.44,2.582,1200.0
300,1,0.6,False,30,0.0,0.0038,0.0038,-2940.0,-2524.876,0.038,8.44,2.582,1200.0
300+930+2000,3,1.0,False,84,0.0,0.3762,0.372,-2940.0,4799.182225,4.102,10.864,4.898,6000.0
300+930+2000,3,0.8,False,84,0.0,0.3674,0.3642,-2940.0,4598.231125,3.96,10.906,4.894,4800.0
300+930+2000,3,0.9,False,84,0.0,0.3674,0.3642,-2940.0,4598.231125,3.96,10.906,4.894,5400.0
930+2000,2,0.8,False,84,0.0,0.353,0.3484,-2940.0,4332.68225,3.822,10.972,5.082,3200.0
